dt,position,velocity,acceleration
0.05,40.124839,2.119596,-2.551634
0.05,40.224495,1.993114,-2.52964
0.05,40.317876,1.867635,-2.509582
0.05,40.40504,1.743269,-2.487332
0.05,40.486034,1.619883,-2.46772
0.05,40.56091,1.497515,-2.447351
0.05,40.62971,1.376002,-2.430251
0.05,40.692477,1.255345,-2.41315
0.05,40.749252,1.1355,-2.396892
0.05,40.800068,1.016319,-2.383624
0.05,40.844958,0.8978,-2.370381
0.05,40.883947,0.779784,-2.360317
0.05,40.917061,0.662278,-2.350131
0.05,40.94432,0.545173,-2.342104
0.05,40.96574,0.4284,-2.335457
0.05,40.981332,0.311848,-2.331037
0.05,40.991109,0.195542,-2.32611
0.05,40.995077,0.079353,-2.323785
0.05,40.995608,0.010629,-1.374486
0.05,40.995608,0,-0.212575
