dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.794719,3.308935,15.979372,10.529296,8.118280,-48.470824,0.392169
0.050000,18.274838,3.547995,16.515715,10.726870,3.951483,-83.335939,0.531448
0.050000,18.714188,3.847471,17.047424,10.634171,-1.853966,-116.108966,0.663544
0.050000,19.101400,4.189154,17.563835,10.328229,-6.118854,-85.297768,0.780250
0.050000,19.415813,4.522728,18.022231,9.167921,-23.206148,-341.745885,0.848615
0.050000,19.714678,4.887350,18.493686,9.429097,5.223505,568.593060,0.920171
0.050000,19.987496,5.274505,18.967309,9.472465,0.867378,-87.122537,0.993902
0.050000,20.231134,5.681161,19.441364,9.481098,0.172660,-13.894365,1.068065
0.050000,20.443559,6.103287,19.913926,9.451236,-0.597245,-15.398087,1.140731
0.050000,20.624161,6.536336,20.383126,9.384008,-1.344570,-14.946511,1.210026
0.050000,20.773808,6.975805,20.847375,9.284965,-1.980846,-12.725523,1.274354
0.050000,20.894620,7.417709,21.305496,9.162428,-2.450755,-9.398181,1.332540
0.050000,20.989606,7.858864,21.756761,9.025299,-2.742577,-5.836434,1.383855
0.050000,21.062258,8.296948,22.200828,8.881342,-2.879138,-2.731213,1.427958
0.050000,21.116226,8.730415,22.637642,8.736273,-2.901376,-0.444764,1.464797
0.050000,21.155104,9.158334,23.067323,8.593633,-2.852794,0.971634,1.494494
0.050000,21.182304,9.580212,23.490078,8.455084,-2.770992,1.636044,1.517257
0.050000,21.201013,9.995835,23.906122,8.320884,-2.684002,1.739807,1.533306
0.050000,21.214199,10.405140,24.315639,8.190342,-2.610828,1.463483,1.542825
0.050000,21.224635,10.808114,24.718748,8.062184,-2.563160,0.953344,1.545934
0.050000,21.234932,11.204722,25.115489,7.934820,-2.547280,0.317601,1.542675
0.050000,21.247578,11.594845,25.505818,7.806567,-2.565070,-0.355789,1.533005
0.050000,21.264965,11.978243,25.889610,7.675842,-2.614495,-0.988504,1.516801
0.050000,21.289402,12.354519,26.266678,7.541369,-2.689467,-1.499446,1.493878
0.050000,21.322916,12.721242,26.634930,7.365030,-3.526782,-16.746286,1.464186
0.050000,21.368465,13.101391,27.017798,7.657366,5.846721,187.470045,1.461685
0.050000,21.401390,13.562891,27.480470,9.253453,31.921745,521.500489,1.536050
0.050000,21.402505,14.009176,27.926757,8.925722,-6.554612,-769.527148,1.598995
0.050000,21.379019,14.438282,28.356505,8.594978,-6.614884,-1.205430,1.650377
0.050000,21.337519,14.849867,28.770177,8.273424,-6.431089,3.675894,1.690662
0.050000,21.283685,15.244537,29.168501,7.966495,-6.138573,5.850329,1.720587
